"horizon","model","model_family","n_evaluation","target_response_RMSE","target_response_MAE","target_response_bias","target_response_correlation","target_mode","level_RMSE","level_MAE","level_bias","cumulative_percent_MAE","annualized_percent_MAE","cumulative_log_RMSE","cumulative_log_MAE","cumulative_log_bias","cumulative_log_correlation","benchmark_target_response_RMSE","benchmark_target_response_MAE","benchmark_level_RMSE","benchmark_level_MAE","relative_target_response_RMSE","relative_target_response_MAE","relative_level_RMSE","relative_level_MAE","relative_cumulative_log_RMSE","relative_cumulative_log_MAE","level_RMSE_rank","target_response_RMSE_rank","cumulative_log_RMSE_rank"
1,"AR(4)","Baseline",90,0.0019314767520052,0.00147561341881384,0.000556197452222955,0.519127313579661,"cumulative_log_change",0.221977265864257,0.169627854833906,0.0649440911914048,0.147998322485833,1.83522950715238,0.0019314767520052,0.00147561341881384,0.000556197452222955,0.519127313579661,0.0035036271354617,0.00292601208277956,0.405738051785464,0.338744444444442,0.55127919648067,0.504308723637288,0.547095015829644,0.500754647392386,0.55127919648067,0.504308723637288,1,1,1
1,"BorutaRF","FeatureSelection+Tree",90,0.00196862427844033,0.00152214506975277,0.00077740942200725,0.55193420556494,"cumulative_log_change",0.226473550261478,0.174957402294748,0.0901965506419908,0.152662023810892,1.89258585970061,0.00196862427844033,0.00152214506975277,0.00077740942200725,0.55193420556494,0.0035036271354617,0.00292601208277956,0.405738051785464,0.338744444444442,0.561881787737926,0.520211477837376,0.558176757799456,0.516487886854314,0.561881787737926,0.520211477837376,2,2,2
1,"Factor","Factor",90,0.00203313580512492,0.00154648466697926,0.000699206663073903,0.502049165526356,"cumulative_log_change",0.2330976601749,0.178029415616916,0.0811946768355559,0.155093185788406,1.92145034887188,0.00203313580512492,0.00154648466697926,0.000699206663073903,0.502049165526356,0.0035036271354617,0.00292601208277956,0.405738051785464,0.338744444444442,0.580294570888178,0.528529829415529,0.574502832921748,0.525556709598274,0.580294570888178,0.528529829415529,3,3,3
1,"Ensemble_Median","Ensemble",90,0.00207360430772636,0.0015957860390628,0.000956441535200944,0.535882933765626,"cumulative_log_change",0.237235122831605,0.183145175821328,0.110628445532186,0.160034964084741,1.98225150604784,0.00207360430772636,0.0015957860390628,0.000956441535200944,0.535882933765626,0.0035036271354617,0.00292601208277956,0.405738051785464,0.338744444444442,0.591845030179874,0.545379169298195,0.584700206913411,0.540658832417741,0.591845030179874,0.545379169298195,4,5,5
1,"RandomForest","Tree",90,0.00208552948531851,0.00162493385739535,0.00093983435934185,0.512788033913696,"cumulative_log_change",0.237879344625094,0.186141387117908,0.108595439454001,0.162951936825725,2.01754434046983,0.00208552948531851,0.00162493385739535,0.00093983435934185,0.512788033913696,0.0035036271354617,0.00292601208277956,0.405738051785464,0.338744444444442,0.59524869647514,0.555340788562892,0.586287984521781,0.549503881674546,0.59524869647514,0.555340788562892,5,6,6
1,"LASSO","Regularization",90,0.00207310897114259,0.00155973731153906,0.00093911773764106,0.519331177697253,"cumulative_log_change",0.238085257811799,0.179576714169854,0.108461649640385,0.156437139408568,1.94000155869956,0.00207310897114259,0.00155973731153906,0.00093911773764106,0.519331177697253,0.0035036271354617,0.00292601208277956,0.405738051785464,0.338744444444442,0.591703651955361,0.533059080896681,0.586795487295551,0.530124455515041,0.591703651955361,0.533059080896681,6,4,4
1,"Ensemble_InvRMSE","Ensemble",90,0.00209718859023126,0.00160897254471229,0.0010180990149492,0.542978858744974,"cumulative_log_change",0.24068565871503,0.18499215685459,0.117807187411348,0.161363702773004,1.99954498234386,0.00209718859023126,0.00160897254471229,0.0010180990149492,0.542978858744974,0.0035036271354617,0.00292601208277956,0.405738051785464,0.338744444444442,0.598576420705481,0.549885817007239,0.593204550709218,0.546111264372134,0.598576420705481,0.549885817007239,7,7,7
1,"ElasticNet","Regularization",90,0.00211458199256579,0.00158694850029173,0.000987756708678398,0.502604922952875,"cumulative_log_change",0.24275974412816,0.182795196507115,0.114178204781297,0.159162902960201,1.97333504157917,0.00211458199256579,0.00158694850029173,0.000987756708678398,0.502604922952875,0.0035036271354617,0.00292601208277956,0.405738051785464,0.338744444444442,0.603540819501939,0.542358833591764,0.598316433619886,0.539625666206595,0.603540819501939,0.542358833591764,8,8,8
1,"XGBoost","Boosting",90,0.00213446036807597,0.0016347047040746,0.000904080526635465,0.454278038305769,"cumulative_log_change",0.243610209905628,0.187363094715965,0.104895033082438,0.163936863242651,2.03041069623203,0.00213446036807597,0.0016347047040746,0.000904080526635465,0.454278038305769,0.0035036271354617,0.00292601208277956,0.405738051785464,0.338744444444442,0.609214475613626,0.558680093529112,0.600412529299662,0.553110457717617,0.609214475613626,0.558680093529112,9,9,9
1,"Ensemble_Mean","Ensemble",90,0.00214350443713971,0.00164623429222776,0.00109168465874798,0.541492334854024,"cumulative_log_change",0.24615799955179,0.189370723775921,0.126545898862014,0.165097664915263,2.04539044509102,0.00214350443713971,0.00164623429222776,0.00109168465874798,0.541492334854024,0.0035036271354617,0.00292601208277956,0.405738051785464,0.338744444444442,0.61179582023566,0.562620469654358,0.606691924675448,0.559037135166891,0.61179582023566,0.562620469654358,10,10,10
