"horizon","model","model_family","n_evaluation","RMSE","MAE","bias","correlation","benchmark_RMSE","benchmark_MAE","relative_RMSE","relative_MAE"
1,"AR(4)","Baseline",88,0.00258100895141085,0.0018399808992915,0.000666551209592887,0.547486150415427,0.00281452636001458,0.00197267616587168,0.917031365589158,0.932733375667086
1,"Ensemble_Median","Ensemble",88,0.00263428499882398,0.00191698179715485,0.000863264482987601,0.552072562242128,0.00281452636001458,0.00197267616587168,0.935960322222862,0.971767100104735
1,"Ensemble_Mean","Ensemble",88,0.00265603860803074,0.00191776022108845,0.000859236928876332,0.533611003697149,0.00281452636001458,0.00197267616587168,0.943689370177718,0.972161703104995
1,"Ensemble_InvRMSE","Ensemble",88,0.0026579840224045,0.00191618249628901,0.000851128721533966,0.53098156828501,0.00281452636001458,0.00197267616587168,0.944380575064408,0.97136191405359
1,"LASSO","Regularization",88,0.00272191468831227,0.00191371407489461,0.00089486892014166,0.501662678185857,0.00281452636001458,0.00197267616587168,0.967095113047073,0.970110608118482
1,"ElasticNet","Regularization",88,0.00274354089423552,0.00192722442570038,0.000949821061888945,0.499714241461039,0.00281452636001458,0.00197267616587168,0.974778894670331,0.976959350471386
1,"BorutaRF","FeatureSelection+Tree",88,0.00274817217432172,0.00194124883648136,0.000825200595603112,0.470977190833784,0.00281452636001458,0.00197267616587168,0.976424386484513,0.984068682972891
1,"RandomForest","Tree",88,0.00276678777698636,0.00200890841513588,0.00101602744070243,0.507125479355993,0.00281452636001458,0.00197267616587168,0.98303850207039,1.0183670537978
1,"XGBoost","Boosting",88,0.00279972662522519,0.00204795639931875,0.00104501708779735,0.485756597633393,0.00281452636001458,0.00197267616587168,0.994741660621961,1.03816147563876
1,"RW","Baseline",88,0.00281452636001458,0.00197267616587168,6.64702799720357e-05,0.555219643324537,0.00281452636001458,0.00197267616587168,1,1
1,"Ridge","Regularization",88,0.0031185669469598,0.00213294445661088,0.00130625327010481,0.349899708073104,0.00281452636001458,0.00197267616587168,1.10802548921363,1.08124409546378
1,"Factor","Factor",88,0.00328694841387664,0.00206120265283406,0.000962922494083748,0.378048878843605,0.00281452636001458,0.00197267616587168,1.16785135167809,1.04487634032079
3,"Ensemble_Mean","Ensemble",88,0.00321270488650784,0.00226058472654797,0.00108416350873242,0.102454445559307,0.00361380961922988,0.00278362546399798,0.889007785416347,0.81210089352366
3,"XGBoost","Boosting",88,0.00321401698157962,0.00225615505961711,0.00117399744237576,-0.0395848875964696,0.00361380961922988,0.00278362546399798,0.889370863500148,0.810509563444183
3,"Ensemble_InvRMSE","Ensemble",88,0.00322098780019978,0.00227427140107059,0.00109631462104119,0.0981479760447857,0.00361380961922988,0.00278362546399798,0.891299802585115,0.817017745556967
3,"AR(4)","Baseline",88,0.00323612230872643,0.00228590936750406,0.00109843170145199,-0.172269877236767,0.00361380961922988,0.00278362546399798,0.895487767674951,0.821198612050676
3,"RandomForest","Tree",88,0.00325288013026554,0.00241684487198059,0.00124668260532037,0.153717203478393,0.00361380961922988,0.00278362546399798,0.900124929923328,0.868236371321807
3,"BorutaRF","FeatureSelection+Tree",88,0.00326853504678871,0.00241787620504805,0.00094915157858436,0.193329123580114,0.00361380961922988,0.00278362546399798,0.904456900384601,0.868606871261831
3,"Ensemble_Median","Ensemble",88,0.00334103794921506,0.00231063166968701,0.0012188027310536,-0.0604129093640834,0.00361380961922988,0.00278362546399798,0.92451963474685,0.830079944148941
3,"ElasticNet","Regularization",88,0.003342098239818,0.00230910608048187,0.00125543689451852,-0.0179560583620527,0.00361380961922988,0.00278362546399798,0.924813034431574,0.829531885789485
3,"LASSO","Regularization",88,0.00335828595308542,0.00231347408311868,0.00125253145458323,-0.0210256767729998,0.00361380961922988,0.00278362546399798,0.929292438432629,0.83110106335784
3,"RW","Baseline",88,0.00361380961922988,0.00278362546399798,0.000218835618966447,0.253127874277982,0.00361380961922988,0.00278362546399798,1,1
3,"Ridge","Regularization",88,0.0036956946565629,0.00245232285202469,0.00140700963582368,-0.034635317721252,0.00361380961922988,0.00278362546399798,1.02265892395031,0.880981613274417
3,"Factor","Factor",88,0.0041371239376881,0.0025660291435847,0.00115539464696743,-0.0906370690689532,0.00361380961922988,0.00278362546399798,1.14480959806891,0.921829885799092
6,"RandomForest","Tree",88,0.0031012232553081,0.00225835289461289,0.000980864439966629,0.18323795836714,0.00366209938547193,0.00277569199637842,0.846843006940526,0.813617972584665
6,"Ensemble_Mean","Ensemble",88,0.0031136671084482,0.00227702026734555,0.000960452140759755,0.154799000454671,0.00366209938547193,0.00277569199637842,0.850241017707101,0.820343276673522
6,"Ensemble_InvRMSE","Ensemble",88,0.00311979466973969,0.00228153870171004,0.000953969238790891,0.146514053726153,0.00366209938547193,0.00277569199637842,0.851914255008034,0.821971135373404
6,"BorutaRF","FeatureSelection+Tree",88,0.00314902717699413,0.00229898923029673,0.000548560560342004,0.158473219041979,0.00366209938547193,0.00277569199637842,0.859896700096882,0.82825804638855
6,"Ensemble_Median","Ensemble",88,0.00321373277859698,0.00227786031479504,0.00116443496967075,0.0282846342945891,0.00366209938547193,0.00277569199637842,0.877565691238833,0.82064592100531
6,"XGBoost","Boosting",88,0.00322915003198301,0.00228088009030192,0.00116560664616503,-0.0814373244203601,0.00366209938547193,0.00277569199637842,0.881775640714044,0.821733857098659
6,"AR(4)","Baseline",88,0.00325577019302092,0.00226911129560062,0.001105524362675,-0.297544654756918,0.00366209938547193,0.00277569199637842,0.889044739183494,0.817493907307163
6,"LASSO","Regularization",88,0.00335670692944309,0.00239816674238764,0.00121160943257111,0.0104275112004681,0.00366209938547193,0.00277569199637842,0.916607272527783,0.86398878028133
6,"ElasticNet","Regularization",88,0.00339364234881414,0.00242778350364087,0.00122412760146216,0.0218161671870933,0.00366209938547193,0.00277569199637842,0.926693131889649,0.874658826270536
6,"Factor","Factor",88,0.00340841903193684,0.00235753698928176,0.00105668118728661,0.0204306576087347,0.00366209938547193,0.00277569199637842,0.930728162501139,0.849351077986227
6,"RW","Baseline",88,0.00366209938547193,0.00277569199637842,0.000227132729149679,0.23501267910981,0.00366209938547193,0.00277569199637842,1,1
6,"Ridge","Regularization",88,0.00368672643591861,0.00250853284538453,0.00112396230721958,0.067814198252246,0.00366209938547193,0.00277569199637842,1.00672484491939,0.903750433642326
12,"Ensemble_Median","Ensemble",88,0.00320637228021835,0.00222519743333944,0.00108630984256683,-0.0875543222520758,0.00421512104272294,0.00310252040020217,0.760683322666118,0.71722249858355
12,"Ridge","Regularization",88,0.00322116766751332,0.00222644085949656,0.00109527903618087,-0.07900757712097,0.00421512104272294,0.00310252040020217,0.764193396788546,0.717623277948945
12,"LASSO","Regularization",88,0.00322166640507639,0.00224872495680157,0.00119907687449985,-0.134695565366966,0.00421512104272294,0.00310252040020217,0.764311717842204,0.724805856765693
12,"XGBoost","Boosting",88,0.00322464286249632,0.0022651311952116,0.00105960385517275,-0.10904097418301,0.00421512104272294,0.00310252040020217,0.765017855907935,0.730093892392776
